epoch,loss,mean_accuracy,mean_iou,step,val_loss,val_mean_accuracy,val_mean_iou
0,1.2334620952606201,0.04347793012857437,0.030285853892564774,49,,,
0,1.1363592147827148,0.06371450424194336,0.04490254446864128,99,,,
0,0.7146750092506409,0.07218445837497711,0.05433525890111923,149,,,
0,0.7014930248260498,0.13018299639225006,0.08693776279687881,199,,,
0,0.5510962009429932,0.1681346297264099,0.12136773020029068,249,,,
0,0.5408207178115845,0.21033374965190887,0.1646159291267395,299,,,
0,0.5786254405975342,0.2336115539073944,0.18398535251617432,349,,,
0,,,,394,0.48103341460227966,0.27755868434906006,0.22143560647964478
1,0.41920924186706543,0.26055967807769775,0.20815445482730865,399,,,
1,0.5249817967414856,0.34549781680107117,0.2679988145828247,449,,,
1,0.4804718494415283,0.37061771750450134,0.2785947322845459,499,,,
1,0.3463428020477295,0.3686802387237549,0.2913108170032501,549,,,
1,0.26223862171173096,0.3971458077430725,0.3075200021266937,599,,,
1,0.4223271906375885,0.3199743628501892,0.25102052092552185,649,,,
1,0.5632668733596802,0.3676345944404602,0.29126065969467163,699,,,
1,0.25592076778411865,0.44290342926979065,0.34551069140434265,749,,,
1,,,,789,0.34627509117126465,0.4319445788860321,0.34519726037979126
2,0.2670379877090454,0.4784667193889618,0.38286474347114563,799,,,
2,0.22907720506191254,0.46676376461982727,0.3710719645023346,849,,,
2,0.34193646907806396,0.47141018509864807,0.3839998245239258,899,,,
2,0.28680965304374695,0.5158711671829224,0.42604660987854004,949,,,
2,0.3014233112335205,0.5347753763198853,0.4104706346988678,999,,,
2,0.31157878041267395,0.5042456388473511,0.39663875102996826,1049,,,
2,0.24362559616565704,0.5235038995742798,0.42807537317276,1099,,,
2,0.26619628071784973,0.5893005728721619,0.45637598633766174,1149,,,
2,,,,1184,0.3063615560531616,0.5510022044181824,0.4274146854877472
3,0.18173068761825562,0.6019104719161987,0.5194627642631531,1199,,,
3,0.26402729749679565,0.5688545107841492,0.47737428545951843,1249,,,
3,0.174931600689888,0.5759198069572449,0.4892200529575348,1299,,,
3,0.16269303858280182,0.6170191764831543,0.46953222155570984,1349,,,
3,0.18468409776687622,0.6992340683937073,0.5253067016601562,1399,,,
3,0.1911427527666092,0.5729745626449585,0.4729968011379242,1449,,,
3,0.20924243330955505,0.6221479177474976,0.5264878869056702,1499,,,
3,0.183485209941864,0.6553398370742798,0.5270377397537231,1549,,,
3,,,,1579,0.2967173755168915,0.6125325560569763,0.48406392335891724
4,0.20057401061058044,0.6502105593681335,0.5314165353775024,1599,,,
4,0.17602092027664185,0.6804486513137817,0.561475396156311,1649,,,
4,0.1623888909816742,0.6943743228912354,0.5775274038314819,1699,,,
4,0.16002067923545837,0.7403669357299805,0.5934701561927795,1749,,,
4,0.1329488307237625,0.7257027626037598,0.6180042028427124,1799,,,
4,0.19409829378128052,0.7133654952049255,0.5326189398765564,1849,,,
4,0.14602583646774292,0.7259232997894287,0.6301027536392212,1899,,,
4,0.20369115471839905,0.7119347453117371,0.6197917461395264,1949,,,
4,,,,1974,0.26533272862434387,0.6663965582847595,0.5302205681800842
5,0.10591988265514374,0.7749834060668945,0.6074355840682983,1999,,,
5,0.12789499759674072,0.7384623885154724,0.6511905193328857,2049,,,
5,0.11529107391834259,0.7459552884101868,0.6389439105987549,2099,,,
5,0.17594385147094727,0.7069585919380188,0.605269193649292,2149,,,
5,0.14299093186855316,0.7664653062820435,0.6590154767036438,2199,,,
5,0.15828007459640503,0.7147005796432495,0.6250762939453125,2249,,,
5,0.113116055727005,0.7922567129135132,0.7195039987564087,2299,,,
5,0.11139632016420364,0.7827965617179871,0.6851996183395386,2349,,,
5,,,,2369,0.3010971248149872,0.6120447516441345,0.5123186707496643
6,0.16129854321479797,0.7614941596984863,0.601932168006897,2399,,,
6,0.0995917022228241,0.7702918648719788,0.6276106238365173,2449,,,
6,0.13169816136360168,0.744047999382019,0.6763142943382263,2499,,,
6,0.1153830736875534,0.7220783233642578,0.6426264643669128,2549,,,
6,0.07602822780609131,0.7878015041351318,0.6615599989891052,2599,,,
6,0.10386118292808533,0.7952876687049866,0.700699508190155,2649,,,
6,0.15980415046215057,0.7411207556724548,0.6523339152336121,2699,,,
6,0.07911649346351624,0.7672420740127563,0.662412166595459,2749,,,
6,,,,2764,0.25359588861465454,0.7024281620979309,0.5887110829353333
7,0.08796937018632889,0.8014529347419739,0.7217480540275574,2799,,,
7,0.06936720013618469,0.8320008516311646,0.7563654184341431,2849,,,
7,0.06517042219638824,0.8637875318527222,0.7446467280387878,2899,,,
7,0.10251735895872116,0.8180527091026306,0.7389084696769714,2949,,,
7,0.10649261623620987,0.7753667235374451,0.6876312494277954,2999,,,
7,0.10649660229682922,0.7872322201728821,0.7198245525360107,3049,,,
7,0.16796889901161194,0.7995955944061279,0.7037373781204224,3099,,,
7,0.09142791479825974,0.7742546796798706,0.6577491760253906,3149,,,
7,,,,3159,0.2561670243740082,0.7154499888420105,0.612159788608551
8,0.1014694795012474,0.8863943219184875,0.7423917651176453,3199,,,
8,0.06335284560918808,0.8029358386993408,0.7308544516563416,3249,,,
8,0.0747031569480896,0.8345407247543335,0.7745036482810974,3299,,,
8,0.09707189351320267,0.8199635744094849,0.7487682700157166,3349,,,
8,0.10031666606664658,0.8380176424980164,0.7247738242149353,3399,,,
8,0.08210239559412003,0.8925083875656128,0.782430112361908,3449,,,
8,0.05251111090183258,0.8445225358009338,0.7706213593482971,3499,,,
8,0.07538051903247833,0.833700954914093,0.77301025390625,3549,,,
8,,,,3554,0.2590044140815735,0.7303884029388428,0.6266965270042419
9,0.07747413218021393,0.8326897621154785,0.7726882100105286,3599,,,
9,0.07191525399684906,0.8756742477416992,0.814224898815155,3649,,,
9,0.06558641791343689,0.8605336546897888,0.7943785786628723,3699,,,
9,0.04774387925863266,0.8729959726333618,0.8112521767616272,3749,,,
9,0.06411514431238174,0.8228824138641357,0.7749272584915161,3799,,,
9,0.06376149505376816,0.8438366055488586,0.7472003698348999,3849,,,
9,0.052169132977724075,0.8979358077049255,0.7801837921142578,3899,,,
9,0.0417817160487175,0.8391278386116028,0.763241708278656,3949,,,
9,,,,3949,0.2625318765640259,0.743434727191925,0.644024133682251
